valid_points	duration	head_id	source	srt	heuristic_saccade_validity	invalid_points	trial_configuration_id	stim_location	tracker_successfully_calibrated	trial_number	mse
180	63339	0120	cg11_8_childcogn_8mNoCalib_SRT2.gazedata	376614	True	1626	SRT2	6	False	5	0.0007350978720441906
528	50029	0120	cg11_8_childcogn_8mNoCalib_SRT2.gazedata	373282	True	1278	SRT2	6	False	6	0.0019855363823907397
834	3357	0120	cg11_8_childcogn_8mNoCalib_SRT2.gazedata	919887	False	972	SRT2	4	False	8	0.00020012812702349813
144	6690	0120	cg11_8_childcogn_8mNoCalib_SRT2.gazedata	596602	False	1662	SRT2	5	False	9	0.00031175358379775825
339	16694	0120	cg11_8_childcogn_8mNoCalib_SRT2.gazedata	866492	False	1467	SRT2	4	False	10	0.0004057600332958819
144	6710	0120	cg11_8_childcogn_8mNoCalib_SRT2.gazedata	336631	False	1662	SRT2	3	False	11	0.004105801633845926
1314	46708	0120	cg11_8_childcogn_8mNoCalib_SRT3.gazedata	313284	True	492	SRT3	4	False	0	0.00012797414322788516
1656	49943	0120	cg11_8_childcogn_8mNoCalib_SRT3.gazedata	363349	True	150	SRT3	6	False	1	0.00017036484374475608
1488	123290	0120	cg11_8_childcogn_8mNoCalib_SRT3.gazedata	313315	False	318	SRT3	4	False	2	0.0007245972892600496
1260	43333	0120	cg11_8_childcogn_8mNoCalib_SRT3.gazedata	299982	True	546	SRT3	3	False	3	0.0034406322388188765
1134	79990	0120	cg11_8_childcogn_8mNoCalib_SRT3.gazedata	253298	True	672	SRT3	5	False	4	0.0021616850189397543
1056	63360	0120	cg11_8_childcogn_8mNoCalib_SRT3.gazedata	299894	True	750	SRT3	3	False	5	0.0037629379549009873
1779	60023	0120	cg11_8_childcogn_8mNoCalib_SRT3.gazedata	339946	True	27	SRT3	5	False	6	0.0024230504943240296
1734	50058	0120	cg11_8_childcogn_8mNoCalib_SRT3.gazedata	329895	True	72	SRT3	4	False	7	0.000457760153373679
1536	69980	0120	cg11_8_childcogn_8mNoCalib_SRT3.gazedata	359999	True	270	SRT3	6	False	8	0.0013284836189765101
1674	216662	0120	cg11_8_childcogn_8mNoCalib_SRT3.gazedata	219945	False	132	SRT3	3	False	9	0.002433389910647056
1032	56672	0120	cg11_8_childcogn_8mNoCalib_SRT3.gazedata	369981	True	774	SRT3	6	False	10	0.0004060852391792886
1782	39979	0120	cg11_8_childcogn_8mNoCalib_SRT3.gazedata	316678	True	24	SRT3	5	False	11	0.0017230786588902098
1806	49957	0120	cg11_8_childcogn_8mNoCalib_SRT4.gazedata	313318	True	0	SRT4	6	False	0	0.00037262382630155017
1746	46697	0120	cg11_8_childcogn_8mNoCalib_SRT4.gazedata	309957	True	60	SRT4	5	False	1	0.0030595851905795765
1710	36723	0120	cg11_8_childcogn_8mNoCalib_SRT4.gazedata	273243	True	96	SRT4	3	False	2	0.0051968972016936555
1638	356592	0120	cg11_8_childcogn_8mNoCalib_SRT4.gazedata	203342	False	168	SRT4	5	False	3	0.0031229575532264148
1218	69984	0120	cg11_8_childcogn_8mNoCalib_SRT4.gazedata	330000	True	588	SRT4	4	False	4	0.00041113511381509653
1794	46587	0120	cg11_8_childcogn_8mNoCalib_SRT4.gazedata	306693	True	12	SRT4	6	False	5	0.00011415414753693923
1626	116687	0120	cg11_8_childcogn_8mNoCalib_SRT4.gazedata	246689	False	180	SRT4	4	False	6	0.001397482113446265
1806	79958	0120	cg11_8_childcogn_8mNoCalib_SRT4.gazedata	233351	True	0	SRT4	3	False	7	0.0029674194730556383
1794	49950	0120	cg11_8_childcogn_8mNoCalib_SRT4.gazedata	249939	True	12	SRT4	5	False	8	0.0025667897696650516
1806	56647	0120	cg11_8_childcogn_8mNoCalib_SRT4.gazedata	256659	True	0	SRT4	4	False	9	0.002502766473016927
1794	53304	0120	cg11_8_childcogn_8mNoCalib_SRT4.gazedata	313301	True	12	SRT4	6	False	10	0.0005550810302459423
1770	56661	0120	cg11_8_childcogn_8mNoCalib_SRT4.gazedata	266621	True	36	SRT4	3	False	11	0.002320202249675116
1806	50037	0120	cg11_8_childcogn_8mNoCalib_SRT5.gazedata	326535	True	0	SRT5	6	False	0	0.0006087982097795489
1758	66621	0120	cg11_8_childcogn_8mNoCalib_SRT5.gazedata	296630	True	48	SRT5	4	False	1	0.001487303609489217
1776	403235	0120	cg11_8_childcogn_8mNoCalib_SRT5.gazedata	83392	False	30	SRT5	3	False	2	0.004492584446796783
1764	316673	0120	cg11_8_childcogn_8mNoCalib_SRT5.gazedata	193273	False	42	SRT5	5	False	3	0.003991219099137552
1758	39978	0120	cg11_8_childcogn_8mNoCalib_SRT5.gazedata	296635	True	48	SRT5	4	False	4	0.0004267878582292717
1779	93366	0120	cg11_8_childcogn_8mNoCalib_SRT5.gazedata	283306	False	27	SRT5	6	False	5	0.0026561759918977503
1806	139983	0120	cg11_8_childcogn_8mNoCalib_SRT5.gazedata	193269	False	0	SRT5	3	False	6	0.003250414471901857
1758	393270	0120	cg11_8_childcogn_8mNoCalib_SRT5.gazedata	213320	False	48	SRT5	5	False	7	0.0033264121215125595
1758	373328	0120	cg11_8_childcogn_8mNoCalib_SRT5.gazedata	156654	False	48	SRT5	3	False	9	0.0032685130401420895
270	60035	0120	cg11_8_childcogn_8mNoCalib_SRT5.gazedata	0	False	1536	SRT5	5	False	10	0.01145475566749574
1224	39977	0120	cg11_8_childcogn_8mNoCalib_SRT5.gazedata	403239	True	582	SRT5	6	False	11	0.0017141206788272689
1749	93388	0187	cg12_8_childcogn_8mNoCalib_SRT1.gazedata	226649	False	57	SRT1	4	False	0	0.002837548250541299
1605	39973	0187	cg12_8_childcogn_8mNoCalib_SRT1.gazedata	306608	True	201	SRT1	3	False	1	0.00250989221249054
